Title of the Book,Author/s,Book type,Original Price (RRP),Discounted price,ISBN-10,Published Date,Publisher,No. of Pages
Hardwired,['Meredith Wild'],Paperback,24.45,24.45,0989768414,2015-01-24,WATERHOUSE PR                 ,288
One Of Us Is Next,['Karen M. McManus'],ePUB,9.99,9.99,0241376939,2020-01-09,Penguin Random House Children's UK,308
The Blind Assassin,['Margaret Atwood'],ePUB,11.99,11.99,0748113347,2009-09-03,"Little, Brown Book Group",656
Alaska,"['James A. Michener', 'Steve Berry']",ePUB,5.99,5.99,0804151423,2013-12-17,Random House Publishing Group,
Solo,['Jill Mansell'],ePUB,11.99,11.99,0755351878,2008-02-10,Headline,300
The Hand That First Held Mine,"[""Maggie O'Farrell""]",ePUB,11.99,11.99,0755373278,2010-04-29,Headline,352
The Body Farm,['Patricia Cornwell'],ePUB,11.99,11.99,0748109587,2008-09-04,"Little, Brown Book Group",400
Welcome To Rosie Hopkins' Sweetshop Of Dreams,['Jenny Colgan'],ePUB,12.99,12.99,074812196X,2012-03-29,"Little, Brown Book Group",400
The Firm,['John Grisham'],ePUB,15.99,15.99,1407059041,2010-04-21,Random House,496
The Eagle In The Sand (Eagles of the Empire 7),['Simon Scarrow'],ePUB,12.99,12.99,0755350804,2008-09-04,Headline,448
Raise the Titanic,['Clive Cussler'],ePUB,11.99,11.99,0748114335,2009-09-17,"Little, Brown Book Group",320
"Change Your Thoughts, Change Your Life",['Dr. Wayne W. Dyer'],ePUB,19.06,15.99,1401920527,2007-07-31,Hay House,395
Last Chance Saloon,['Marian Keyes'],ePUB,15.99,15.99,014190982X,2005-07-07,Penguin Books Ltd,608
In Peace Lies Havoc (Midnight Mayhem: Book I),['Amo Jones'],ePUB,6.99,6.99,1393487327,2019-11-05,?Amo Jones,
The Great Hunt,['Robert Jordan'],Paperback,32.5,32.5,0356503836,2014-11-11,Little Brown,720
The First Fifteen Lives of Harry August,['Claire North'],ePUB,11.99,11.99,1405528257,2014-04-08,"Little, Brown Book Group",416
The Sword Of Shannara,['Terry Brooks'],ePUB,12.99,12.99,140551566X,2012-02-23,"Little, Brown Book Group",672
The Dollhouse,['Fiona Davis'],ePUB,25.7,20.99,1101985003,2016-08-23,Penguin Publishing Group,
A Pound Of Flesh,['Alex Gray'],ePUB,12.99,12.99,0748117385,2012-03-01,"Little, Brown Book Group",352
The Leadership Challenge,"['James M. Kouzes', 'Barry Z. Posner']",ePUB,41.79,41.79,111927897X,2017-03-30,Wiley Professional Development (P&T),0
Stardust,['Neil Gaiman'],Paperback,22.99,21.9,0755322827,1999-05-01,Headline,214
Blue Monday,['Nicci French'],ePUB,15.99,15.99,0141970251,2011-06-23,Penguin Books Ltd,432
The Boundless Sea,['David Abulafia'],ePUB,19.99,19.99,0141972092,2019-10-03,Penguin Books Ltd,512
The Lady in the Lake and Other Novels,['Raymond Chandler'],ePUB,16.99,16.99,0141190760,2001-06-07,Penguin Books Ltd,608
Masters of Rome,['Robert Fabbri'],ePUB,9.49,8.99,0857899643,2014-08-07,Corvus,300
Body Swap,['Katrina Kahler'],ePUB,0,0,1370005326,2017-03-28,Katrina Kahler,
Apache Dawn,['Damien Lewis'],ePUB,12.99,12.99,0748122761,2010-09-02,"Little, Brown Book Group",384
Our Band Could Be Your Life,['Michael Azerrad'],ePUB,25.99,25.99,0316247189,2012-12-01,"Little, Brown and Company",528
Any Human Heart,['William Boyd'],ePUB,15.99,15.99,0141925329,2003-03-06,Penguin Books Ltd,512
Hunger,['Michael Grant'],ePUB,13.99,13.99,0061911496,2009-05-26,HarperCollins,608
The Fire Islands,['Gilbert M. Stack'],ePUB,1.52,1.52,1370085176,2017-12-01,Gilbert M. Stack,
Book not found for ISBN 9780141960241,,,,,,,,
Crime and Punishment,"['Fyodor Dostoevsky', 'Oliver Ready']",ePUB,10.99,10.99,0141956968,2014-02-27,Penguin Books Ltd,720
Book not found for ISBN 9780062368683,,,,,,,,
Bloodline,['Mark Billingham'],ePUB,12.99,12.99,0748111468,2009-08-06,"Little, Brown Book Group",352
The Catcher in the Rye,['J. D. Salinger'],ePUB,15.99,15.99,0241988799,2019-08-13,Penguin Books Ltd,240
The Rule of Law,['Rt Hon Lord Bingham of Cornhill KG PC FBA Tom Bingham'],ePUB,15.99,15.99,0141962011,2011-07-07,Penguin Books Ltd,224
Last Bus to Woodstock,['Colin Dexter'],ePUB,12.35,8.95,0330468561,2009-08-21,,0
A Moment of War,['Laurie Lee'],ePUB,15.99,15.99,0141929553,2000-01-01,Penguin Books Ltd,192
March of the Lemmings,['Stewart Lee'],ePUB,18.69,15.99,0571357040,2019-09-03,Faber & Faber,324
Path of the Assassin,['Brad Thor'],ePUB,9.99,9.99,0743483308,2003-04-15,Atria Books,384
The Case of the Missing Boyfriend,['Nick Alexander'],ePUB,5.99,5.99,0857896318,2011-08-01,Corvus,200
Book not found for ISBN 9780061802638,,,,,,,,
The Collector,['Nora Roberts'],ePUB,11.99,11.99,1405522771,2014-04-15,"Little, Brown Book Group",496
The Deceivers,['Kristen Simmons'],ePUB,14.95,11.99,125017581X,2019-02-05,Tor Publishing Group,
Profit First,['Mike Michalowicz'],ePUB,29.14,23.99,0735214166,2017-01-18,Penguin Publishing Group,
Matter,['Iain M. Banks'],ePUB,12.99,12.99,0748110046,2008-09-04,"Little, Brown Book Group",608
If Beale Street Could Talk,['James Baldwin'],ePUB,15.99,15.99,0141963794,2000-01-01,Penguin Books Ltd,240
Caves of Steel,['Isaac Asimov'],ePUB,13.19,10.99,0307792412,2011-04-13,Random House Publishing Group,
Everything is Figureoutable,['Marie Forleo'],ePUB,4.99,4.99,0241341043,2019-09-12,Penguin Books Ltd,240
The Glass Woman,['Caroline Lea'],ePUB,15.99,15.99,1405934638,2019-02-07,Penguin Books Ltd,464
The Labyrinth Index,['Charles Stross'],ePUB,12.99,12.99,0356511073,2018-10-30,"Little, Brown Book Group",368
